,intent,source,target
0,flight,i want to fly from boston at 838 am and arrive in denver at 1110 in the morning,O O O O O B-fromloc.city_name O B-depart_time.time I-depart_time.time O O O B-toloc.city_name O B-arrive_time.time O O B-arrive_time.period_of_day
1,flight,what flights are available from pittsburgh to baltimore on thursday morning,O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day
2,flight_time,what is the arrival time in san francisco for the 755 am flight leaving washington,O O O B-flight_time I-flight_time O B-fromloc.city_name I-fromloc.city_name O O B-depart_time.time I-depart_time.time O O B-fromloc.city_name
3,airfare,cheapest airfare from tacoma to orlando,B-cost_relative O O B-fromloc.city_name O B-toloc.city_name
4,airfare,round trip fares from pittsburgh to philadelphia under 1000 dollars,B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative B-fare_amount I-fare_amount
5,flight,i need a flight tomorrow from columbus to minneapolis,O O O O B-depart_date.today_relative O B-fromloc.city_name O B-toloc.city_name
6,aircraft,what kind of aircraft is used on a flight from cleveland to dallas,O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name
7,flight,show me the flights from pittsburgh to los angeles on thursday,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name
8,flight,all flights from boston to washington,O O O B-fromloc.city_name O B-toloc.city_name
9,ground_service,what kind of ground transportation is available in denver,O O O O O O O O B-city_name
10,flight,show me the flights from dallas to san francisco,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
11,flight,show me the flights from san diego to newark by way of houston,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-stoploc.city_name
12,airport,what 's the airport at orlando,O O O O O B-city_name
13,flight,what is the cheapest flight from boston to bwi,O O O B-cost_relative O O B-fromloc.city_name O B-toloc.airport_code
14,flight,all flights to baltimore after 6 pm,O O O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time
15,airfare,show me the first class fares from boston to denver,O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name
16,ground_service,show me the ground transportation in denver,O O O O O O B-city_name
17,flight,all flights from denver to pittsburgh leaving after 6 pm and before 7 pm,O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-depart_time.time_relative B-depart_time.time I-depart_time.time
18,flight,i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore,O O O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name B-fromloc.city_name O B-toloc.city_name O B-fromloc.city_name O B-toloc.city_name
19,flight,please give me the flights from boston to pittsburgh on thursday of next week,O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-depart_date.date_relative O
20,flight,i would like to fly from denver to pittsburgh on united airlines,O O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name
21,flight,show me the flights from san diego to newark,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
22,flight,please list all first class flights on united from denver to baltimore,O O O B-class_type I-class_type O O B-airline_name O B-fromloc.city_name O B-toloc.city_name
23,aircraft,what kinds of planes are used by american airlines,O O O O O O O B-airline_name I-airline_name
24,airfare,i 'd like to have some information on a ticket from denver to pittsburgh and atlanta,O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-toloc.city_name
25,flight,i 'd like to book a flight from atlanta to denver,O O O O O O O O B-fromloc.city_name O B-toloc.city_name
26,airline,which airline serves denver pittsburgh and atlanta,O O O B-fromloc.city_name B-fromloc.city_name O B-fromloc.city_name
27,flight,show me all flights from boston to pittsburgh on wednesday of next week which leave boston after 2 o'clock pm,O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-depart_date.date_relative O O O B-fromloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time
28,ground_service,atlanta ground transportation,B-city_name O O
29,flight,i also need service from dallas to boston arriving by noon,O O O O O B-fromloc.city_name O B-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time
30,airfare,show me the cheapest round trip fare from baltimore to dallas,O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
31,flight,show me all flights from new york to milwaukee on northwest airlines departing at 720 am,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O O B-depart_time.time I-depart_time.time
32,flight,flights from new york to miami,O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
33,flight,please find a flight on delta from philadelphia to san francisco and give me the flight numbers,O O O O O B-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O O
34,flight,i need a flight from dallas to san francisco,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
35,airfare,fares and flights from pittsburgh to philadelphia,O O O O B-fromloc.city_name O B-toloc.city_name
36,airline,show me the airlines with first class flights,O O O O O B-class_type I-class_type O
37,flight,what are the flights from st. louis to burbank sunday evening,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day
38,flight,i 'd like to arrange a flight from pittsburgh to atlanta,O O O O O O O O B-fromloc.city_name O B-toloc.city_name
39,flight,show flights from baltimore to san francisco between 6 pm and 8 pm on friday,O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time O B-depart_date.day_name
40,distance,how far is it from orlando airport to orlando,O O O O O B-fromloc.airport_name I-fromloc.airport_name O B-toloc.city_name
41,flight,i would like a list of round trip flights between indianapolis and orlando florida for the twenty seventh and the twenty eighth of december,O O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name O O B-depart_date.day_number I-depart_date.day_number O O B-depart_date.day_number I-depart_date.day_number O B-depart_date.month_name
42,airline,which airline has the most arrivals in atlanta,O O O O B-mod O O B-toloc.city_name
43,airline,what airlines fly from new york to milwaukee to los angeles,O O O O B-fromloc.city_name I-fromloc.city_name O B-stoploc.city_name O B-toloc.city_name I-toloc.city_name
44,flight,pittsburgh to denver,B-fromloc.city_name O B-toloc.city_name
45,airline,which airlines serve atlanta,O O O B-city_name
46,ground_service,show me information on ground transportation for dallas,O O O O O O O B-city_name
47,abbreviation,what is fare code h,O O O O B-fare_basis_code
48,flight,show me all flights from boston to dallas fort worth both direct and connecting that arrive before noon,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O O O O O O B-arrive_time.time_relative B-arrive_time.time
49,flight,i need a flight from charlotte to newark leaving today evening,O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.today_relative B-depart_time.period_of_day
50,flight_time,what are the times that you have planes leaving from san francisco going to pittsburgh on july seventh,O O O B-flight_time O O O O O O B-fromloc.city_name I-fromloc.city_name O O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
51,flight,flights from newark to cleveland,O O B-fromloc.city_name O B-toloc.city_name
52,flight,what flights go from boston to pittsburgh after 6 o'clock next tuesday,O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time B-depart_date.date_relative B-depart_date.day_name
53,ground_fare,how much does the limousine service cost within pittsburgh,O O O O B-transport_type O O O B-city_name
54,flight,does us air have any flights out of atlanta to denver,O B-airline_name I-airline_name O O O O O B-fromloc.city_name O B-toloc.city_name
55,abbreviation,what is booking class c,O O O O B-fare_basis_code
56,flight,i 'd like to know the shortest trip between boston and san francisco,O O O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
57,flight,i would like to see information for flights from san francisco leaving after 12 pm to pittsburgh on monday,O O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-toloc.city_name O B-depart_date.day_name
58,flight,what is the least expensive flight from denver to atlanta,O O O B-cost_relative I-cost_relative O O B-fromloc.city_name O B-toloc.city_name
59,flight,i need to know information for flights leaving dallas on tuesday evening and returning to atlanta,O O O O O O O O B-fromloc.city_name O B-depart_date.day_name B-depart_time.period_of_day O O O B-toloc.city_name
60,flight,what flight goes from denver to baltimore first class on united airlines arriving on may seventh,O O O O B-fromloc.city_name O B-toloc.city_name B-class_type I-class_type O B-airline_name I-airline_name O O B-arrive_date.month_name B-arrive_date.day_number
61,airline,could you please tell me the airlines that fly from toronto to san diego,O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
62,flight,what flights do you have from burbank to tacoma washington,O O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name
63,ground_service,what is the ground transportation from philadelphia airport to the city proper,O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O O O
64,airline,which airlines have first class flights today,O O O B-class_type I-class_type O B-depart_date.today_relative
65,flight,find the latest flight from san francisco to atlanta that serves a meal,O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-meal
66,flight,i would like to make a reservation for a flight to denver from philadelphia on this coming sunday,O O O O O O O O O O O B-toloc.city_name O B-fromloc.city_name O B-depart_date.date_relative O B-depart_date.day_name
67,airport,give me a list of airports in baltimore,O O O O O O O B-city_name
